amount,payments,same_district,frequency,has_disponent,gender,region,nr_inhabitants,nr_municip_inhabitants_499,nr_municip_inhabitants_500_1999,nr_municip_inhabitants_2000_9999,nr_municip_inhabitants_10000,nr_cities,ratio_urban_inhabitants,average_salary,ratio_entrepeneurs,avg_crimes,avg_unemployment,criminality_growth,unemployment_growth,avg_amount_credit,avg_amount_withdrawal,avg_amount_total,min_amount,max_amount,credit_ratio,avg_balance,num_trans,min_balance,std_balance,negative_balance,last_balance,last_balance_negative,cash_credit_ratio,rem_ratio,card_withdrawal_ratio,cash_withdrawal_ratio,interest_ratio,coll_ratio,age_when_loan,days_between,loan_status,has_card
173016,4806,True,2,0,0,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,14459.529787234043,-12580.127659574468,939.7010638297871,-62700.0,49769.0,0.5,61799.244389960106,94,300.0,26371.476261562188,0,101131.6015625,0,0.30851063829787234,0.0,0.0,0.5,0.19148936170212766,0.0,51,318,0,False
321180,5353,True,1,1,1,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,16276.9,-11405.895238095238,978.5131578947369,-34000.0,48180.0,0.4473684210526316,40524.462890625,38,700.0,21429.097876435764,0,44545.0,0,0.05263157894736842,0.10526315789473684,0.0,0.4473684210526316,0.18421052631578946,0.21052631578947367,60,233,0,False
421008,8771,True,1,0,1,5,177686,69,27,10,1,9,0.748,10045.0,0.135,0.03629717591706719,1.565,-0.0017390227705052733,0.29000000000000004,10392.413636363637,-7052.321428571428,623.362,-19100.0,31540.0,0.44,37436.421875,50,600.0,12234.992541290212,0,31168.0,0,0.26,0.12,0.0,0.44,0.18,0.0,43,304,0,False
274740,4579,False,2,0,1,6,86513,38,36,5,1,5,0.505,8288.0,0.11,0.01746558320714806,4.154999999999999,-0.0011790135586559245,0.7299999999999995,21255.930769230767,-16801.0,1522.7074074074076,-36700.0,63366.0,0.48148148148148145,57188.2115162037,27,600.0,24784.537083913074,0,41127.8984375,0,0.037037037037037035,0.1111111111111111,0.0,0.4074074074074074,0.2222222222222222,0.2222222222222222,15,204,0,False
93888,2608,True,0,0,0,6,86513,38,36,5,1,5,0.505,8288.0,0.11,0.01746558320714806,4.154999999999999,-0.0011790135586559245,0.7299999999999995,7084.7,-7185.714285714285,1827.1789473684212,-15500.0,15649.0,0.631578947368421,37510.49465460526,19,600.0,14209.492333992788,0,34716.30078125,0,0.10526315789473684,0.0,0.0,0.3684210526315789,0.2631578947368421,0.2631578947368421,43,156,0,False
4980,415,True,1,0,0,6,86513,38,36,5,1,5,0.505,8288.0,0.11,0.01746558320714806,4.154999999999999,-0.0011790135586559245,0.7299999999999995,5352.515789473684,-2933.2370370370368,489.13913043478254,-16000.0,15528.0,0.41304347826086957,30533.371518342392,46,800.0,8610.041858728408,0,22500.30078125,0,0.2391304347826087,0.21739130434782608,0.0,0.3695652173913043,0.17391304347826086,0.0,41,242,0,False
288468,8013,True,1,0,0,6,86513,38,36,5,1,5,0.505,8288.0,0.11,0.01746558320714806,4.154999999999999,-0.0011790135586559245,0.7299999999999995,6845.75,-15666.666666666666,2872.970588235294,-23300.0,30950.0,0.8235294117647058,36999.524241727944,17,600.0,15721.860080991837,0,48752.951171875,0,0.35294117647058826,0.0,0.0,0.17647058823529413,0.47058823529411764,0.0,36,127,0,False
87840,3660,True,1,1,0,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,7331.9857142857145,-19600.0,2579.2823529411767,-22000.0,32938.0,0.8235294117647058,46318.552849264706,17,500.0,20053.793565194228,0,43847.80078125,0,0.11764705882352941,0.0,0.0,0.17647058823529413,0.47058823529411764,0.23529411764705882,13,124,0,False
197748,5493,False,1,1,0,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,12363.145454545454,-18540.0,2705.9125,-25100.0,36216.0,0.6875,44735.431396484375,16,300.0,19011.853218557273,0,43294.5,0,0.4375,0.0,0.0,0.3125,0.25,0.0,23,163,0,False
61656,2569,True,2,0,0,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,13988.388888888889,-22066.666666666668,4974.625,-31400.0,47337.0,0.75,44763.457682291664,12,400.0,23791.248551102686,0,59695.5,0,0.5,0.0,0.0,0.25,0.25,0.0,42,167,1,False
44628,3719,True,2,0,1,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,25106.972093023258,-9700.582524271844,550.9575342465755,-59000.0,71565.0,0.2945205479452055,49477.3210348887,146,900.0,22584.140996853144,0,80439.703125,0,0.0136986301369863,0.1095890410958904,0.0,0.5958904109589042,0.136986301369863,0.14383561643835616,52,636,0,False
262980,4383,True,1,0,0,1,53921,61,22,1,1,2,0.413,8598.0,0.123,0.03219524860443983,3.0149999999999997,0.005155690732738636,0.48999999999999977,10113.641666666666,-5207.6875,1358.5964285714285,-22300.0,44022.0,0.42857142857142855,41729.615966796875,56,900.0,16183.71099543347,0,76081.296875,0,0.23214285714285715,0.0,0.0,0.5714285714285714,0.19642857142857142,0.0,30,369,0,False
52788,4399,True,1,0,1,5,58796,22,16,7,1,5,0.519,9045.0,0.124,0.03166882100823185,3.365,0.0005782706306551466,0.4700000000000002,4304.038095238096,-3152.5363636363636,489.04651162790697,-17920.0,11427.0,0.4883720930232558,22198.179346838664,43,1000.0,6574.831723373623,0,21029.0,0,0.32558139534883723,0.18604651162790697,0.0,0.32558139534883723,0.16279069767441862,0.0,20,244,0,False
87216,1817,True,1,0,1,5,58796,22,16,7,1,5,0.519,9045.0,0.124,0.03166882100823185,3.365,0.0005782706306551466,0.4700000000000002,3691.82380952381,-4653.099999999999,657.3060606060606,-12600.0,16356.0,0.6363636363636364,28362.248342803032,33,200.0,8296.694100297484,0,21658.766927083332,0,0.09090909090909091,0.0,0.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,30,192,1,False
21396,1783,True,1,1,1,5,58796,22,16,7,1,5,0.519,9045.0,0.124,0.03166882100823185,3.365,0.0005782706306551466,0.4700000000000002,5691.885294117647,-3835.0454545454545,317.71923076923076,-14075.0,16048.0,0.4358974358974359,30812.946188902242,78,1000.0,7939.581641127404,0,24782.0,0,0.0641025641025641,0.0,0.0,0.5641025641025641,0.1794871794871795,0.19230769230769232,26,440,0,False
44376,3698,True,1,0,1,5,58796,22,16,7,1,5,0.519,9045.0,0.124,0.03166882100823185,3.365,0.0005782706306551466,0.4700000000000002,18505.683333333334,-12612.419047619047,1749.7820512820513,-54100.0,49412.0,0.46153846153846156,53505.2155448718,39,800.0,27913.349274989905,0,68241.5,0,0.3333333333333333,0.10256410256410256,0.0,0.4358974358974359,0.1282051282051282,0.0,34,164,0,False
174744,7281,True,1,0,0,7,122603,25,21,6,2,8,0.8,8991.0,0.128,0.04270287023971681,1.6999999999999997,0.0006117305449295695,0.6199999999999999,13374.85,-9741.05,1816.9,-52600.0,47436.0,0.5,37485.45651245117,32,1000.0,27856.914679683203,0,58140.8984375,0,0.34375,0.0,0.0,0.5,0.15625,0.0,45,163,1,False
49320,4110,True,0,0,0,7,122603,25,21,6,2,8,0.8,8991.0,0.128,0.04270287023971681,1.6999999999999997,0.0006117305449295695,0.6199999999999999,15663.035294117646,-7831.1875,319.869387755102,-62700.0,45628.0,0.3469387755102041,46576.27790178572,49,900.0,24189.20566801088,0,15673.599609375,0,0.24489795918367346,0.20408163265306123,0.0,0.4489795918367347,0.10204081632653061,0.0,48,167,1,False
19044,529,True,1,0,0,7,122603,25,21,6,2,8,0.8,8991.0,0.128,0.04270287023971681,1.6999999999999997,0.0006117305449295695,0.6199999999999999,8717.206896551725,-5065.785,727.0666666666667,-22300.0,24126.0,0.42028985507246375,43121.75532155797,69,600.0,10456.181999266386,0,50167.6015625,0,0.2318840579710145,0.0,0.0,0.5797101449275363,0.18840579710144928,0.0,22,410,0,False
15192,633,True,1,0,0,7,122603,25,21,6,2,8,0.8,8991.0,0.128,0.04270287023971681,1.6999999999999997,0.0006117305449295695,0.6199999999999999,7555.3234042553195,-2768.427868852459,102.67455621301775,-14000.0,21513.0,0.2781065088757396,29941.905331222264,169,500.0,7215.737371578815,0,17351.900390625,0,0.15384615384615385,0.31952662721893493,0.0,0.40236686390532544,0.1242603550295858,0.0,23,685,0,False
154416,3217,True,2,0,0,5,70699,60,13,2,1,4,0.653,8968.0,0.131,0.025813660730703406,3.09,0.002404560177654564,0.52,11408.9875,-8071.3125,1668.8374999999999,-19200.0,39098.0,0.5,46715.80010986328,32,8897.0,19967.465845340877,0,53402.69921875,0,0.3125,0.0,0.0,0.5,0.1875,0.0,24,176,0,False
21924,609,True,1,1,1,6,157042,49,70,18,0,9,0.33899999999999997,8743.0,0.111,0.024047706982845352,2.1550000000000002,0.001496414971790986,0.5500000000000003,7551.738095238095,-4562.625,1090.7444444444445,-17200.0,21739.5,0.4666666666666667,34272.21341145833,45,1100.0,10057.385252233578,0,49083.30078125,0,0.26666666666666666,0.1111111111111111,0.0,0.4222222222222222,0.2,0.0,33,297,0,False
14628,1219,True,1,0,0,6,157042,49,70,18,0,9,0.33899999999999997,8743.0,0.111,0.024047706982845352,2.1550000000000002,0.001496414971790986,0.5500000000000003,7799.868965517242,-2620.457534246575,342.1843137254902,-14100.0,23230.5,0.28431372549019607,32788.142061121325,102,200.0,8971.46428531956,0,34910.099609375,0,0.1568627450980392,0.3235294117647059,0.0,0.39215686274509803,0.12745098039215685,0.0,45,399,0,False
121896,5079,True,1,0,1,6,157042,49,70,18,0,9,0.33899999999999997,8743.0,0.111,0.024047706982845352,2.1550000000000002,0.001496414971790986,0.5500000000000003,16312.041025641025,-11004.674074074075,450.72258064516126,-64900.0,49558.0,0.41935483870967744,54422.59662718414,93,600.0,21792.709301418483,0,41917.19921875,0,0.25806451612903225,0.0,0.0,0.5806451612903226,0.16129032258064516,0.0,29,486,0,False
71460,5955,True,1,1,1,6,157042,49,70,18,0,9,0.33899999999999997,8743.0,0.111,0.024047706982845352,2.1550000000000002,0.001496414971790986,0.5500000000000003,13133.975,-8085.147826086956,1784.211627906977,-24300.0,48487.0,0.46511627906976744,47991.53034156977,43,200.0,19010.742799578806,0,70764.0,0,0.27906976744186046,0.09302325581395349,0.0,0.4418604651162791,0.18604651162790697,0.0,49,326,0,False
48672,1352,False,1,1,0,6,157042,49,70,18,0,9,0.33899999999999997,8743.0,0.111,0.024047706982845352,2.1550000000000002,0.001496414971790986,0.5500000000000003,2590.1029411764707,-1031.0063492063493,238.24845360824742,-5880.0,12100.0,0.35051546391752575,23050.189624275128,97,300.0,5395.558450978345,0,23117.2998046875,0,0.21649484536082475,0.3711340206185567,0.0,0.27835051546391754,0.13402061855670103,0.0,46,415,0,False
417600,6960,True,0,0,1,6,157042,49,70,18,0,9,0.33899999999999997,8743.0,0.111,0.024047706982845352,2.1550000000000002,0.001496414971790986,0.5500000000000003,8001.857142857143,-8415.384615384615,1724.6764705882354,-31700.0,36305.0,0.6176470588235294,43196.74419806985,34,200.0,18355.323216978253,0,58638.6015625,0,0.23529411764705882,0.0,0.11764705882352941,0.2647058823529412,0.38235294117647056,0.0,26,408,0,True
79608,3317,True,1,0,1,2,105606,77,26,7,2,7,0.53,8254.0,0.097,0.021262996420657918,3.275,0.0015055962729390376,0.9699999999999998,23558.29090909091,-13372.148387096773,1957.4679245283016,-51700.0,67124.0,0.41509433962264153,69954.57186025943,53,800.0,24634.49108795447,0,103745.703125,0,0.018867924528301886,0.0,0.0,0.5849056603773585,0.18867924528301888,0.20754716981132076,23,313,0,False
149340,2489,True,2,0,1,2,105606,77,26,7,2,7,0.53,8254.0,0.097,0.021262996420657918,3.275,0.0015055962729390376,0.9699999999999998,7546.752173913043,-4546.575757575758,420.3267857142858,-13200.0,22404.0,0.4107142857142857,29069.116315569197,56,500.0,10338.77914335033,0,23553.30078125,0,0.05357142857142857,0.10714285714285714,0.0,0.48214285714285715,0.17857142857142858,0.17857142857142858,31,321,0,False
314520,5242,True,2,0,0,2,105606,77,26,7,2,7,0.53,8254.0,0.097,0.021262996420657918,3.275,0.0015055962729390376,0.9699999999999998,18056.9125,-12982.432432432432,388.3623076923076,-56700.0,49457.0,0.4307692307692308,63527.41949744592,130,500.0,28587.787914971777,0,50502.0,0,0.3076923076923077,0.09230769230769231,0.0,0.47692307692307695,0.12307692307692308,0.0,39,484,0,False
277884,7719,True,1,0,0,2,105606,77,26,7,2,7,0.53,8254.0,0.097,0.021262996420657918,3.275,0.0015055962729390376,0.9699999999999998,13759.673913043478,-8751.140845070422,99.2649572649572,-53200.0,47031.0,0.39316239316239315,46487.00275232038,117,1000.0,27921.78115500964,0,11614.0,0,0.2222222222222222,0.0,0.0,0.6068376068376068,0.17094017094017094,0.0,15,693,1,False
464520,7742,False,2,0,0,4,148545,8,35,12,3,4,0.535,8909.0,0.113,0.023730182772897103,4.785,0.0008751556767309569,1.5499999999999998,16035.558064516128,-11073.837837837838,1284.8573529411765,-41000.0,47757.0,0.45588235294117646,51760.01647231158,68,200.0,27643.158354842148,0,108084.546875,0,0.3235294117647059,0.0,0.0,0.5441176470588235,0.1323529411764706,0.0,53,257,1,False
89040,1484,True,1,1,0,4,148545,8,35,12,3,4,0.535,8909.0,0.113,0.023730182772897103,4.785,0.0008751556767309569,1.5499999999999998,3735.122727272727,-3140.4511627906977,336.85057471264366,-11400.0,15843.0,0.5057471264367817,30045.39990795618,87,800.0,8781.173388008987,0,29305.80078125,0,0.20689655172413793,0.09195402298850575,0.0,0.40229885057471265,0.2988505747126437,0.0,24,392,0,False
173808,7242,True,0,1,0,4,148545,8,35,12,3,4,0.535,8909.0,0.113,0.023730182772897103,4.785,0.0008751556767309569,1.5499999999999998,26907.226923076923,-12350.122448979591,1259.0919999999999,-38200.0,74522.0,0.3466666666666667,61218.65859375,75,1000.0,24800.38257453226,0,94431.8984375,0,0.013333333333333334,0.0,0.0,0.6533333333333333,0.16,0.17333333333333334,37,383,0,False
48744,1354,True,1,0,0,4,148545,8,35,12,3,4,0.535,8909.0,0.113,0.023730182772897103,4.785,0.0008751556767309569,1.5499999999999998,10108.300000000001,-16100.0,4492.2357142857145,-18600.0,28603.5,0.7857142857142857,42930.20647321428,14,900.0,18802.99573199688,0,62891.30078125,0,0.5,0.0,0.0,0.21428571428571427,0.2857142857142857,0.0,32,134,0,False
95400,2650,False,2,0,1,1,95616,65,30,4,1,6,0.514,9307.0,0.118,0.029576639892904953,4.14,0.004434404283801874,0.5799999999999996,11706.59090909091,-9195.12,588.6595744680852,-33500.0,35760.0,0.46808510638297873,41562.3233252992,47,200.0,23324.578178835767,0,27682.0,0,0.2765957446808511,0.0,0.0,0.5319148936170213,0.19148936170212766,0.0,22,268,0,False
174744,7281,False,1,0,0,1,95616,65,30,4,1,6,0.514,9307.0,0.118,0.029576639892904953,4.14,0.004434404283801874,0.5799999999999996,11542.828947368422,-5396.2074999999995,58.73644067796611,-37500.0,46739.0,0.3220338983050847,26252.81420200154,118,-1369.2,23331.028403352168,1,6930.7998046875,0,0.19491525423728814,0.3559322033898305,0.0,0.3220338983050847,0.1271186440677966,0.0,15,452,1,False
538500,8975,True,1,0,1,1,95616,65,30,4,1,6,0.514,9307.0,0.118,0.029576639892904953,4.14,0.004434404283801874,0.5799999999999996,11733.345454545455,-6523.961111111112,401.2241379310345,-23800.0,32082.0,0.3793103448275862,33687.85846578664,58,200.0,13291.931188803259,0,23271.0,0,0.20689655172413793,0.1206896551724138,0.0,0.5,0.1724137931034483,0.0,34,336,0,False
285600,4760,True,2,1,0,1,95616,65,30,4,1,6,0.514,9307.0,0.118,0.029576639892904953,4.14,0.004434404283801874,0.5799999999999996,11216.012499999999,-9639.6,575.3938775510203,-33600.0,42729.0,0.4897959183673469,49651.89166135204,49,1100.0,26201.89223915566,0,28194.400390625,0,0.3469387755102041,0.0,0.0,0.5102040816326531,0.14285714285714285,0.0,14,252,0,False
155640,6485,True,1,0,0,1,95616,65,30,4,1,6,0.514,9307.0,0.118,0.029576639892904953,4.14,0.004434404283801874,0.5799999999999996,12015.777777777777,-3640.146153846154,385.66285714285715,-21700.0,34486.0,0.2571428571428571,45183.34947916667,105,500.0,13448.96625230234,0,40501.900390625,0,0.13333333333333333,0.34285714285714286,0.0,0.4,0.12380952380952381,0.0,53,412,0,False
259740,4329,True,1,0,1,4,228848,15,40,18,2,6,0.5720000000000001,9893.0,0.096,0.025147696287492135,4.404999999999999,0.00115360413899182,0.6299999999999999,14443.35,-11030.57142857143,3954.0882352941176,-21500.0,38960.0,0.5882352941176471,45198.152803308825,17,800.0,18905.399335224523,0,67219.5,0,0.058823529411764705,0.058823529411764705,0.0,0.35294117647058826,0.23529411764705882,0.29411764705882354,14,155,0,False
239460,3991,False,1,0,0,4,228848,15,40,18,2,6,0.5720000000000001,9893.0,0.096,0.025147696287492135,4.404999999999999,0.00115360413899182,0.6299999999999999,13387.938888888888,-7312.228571428571,787.8369565217391,-23200.0,35918.0,0.391304347826087,40061.58054517663,46,300.0,15886.9798626741,0,36240.6015625,0,0.021739130434782608,0.17391304347826086,0.0,0.43478260869565216,0.17391304347826086,0.1956521739130435,51,274,0,False
76680,3195,True,1,1,1,4,228848,15,40,18,2,6,0.5720000000000001,9893.0,0.096,0.025147696287492135,4.404999999999999,0.00115360413899182,0.6299999999999999,13581.835849056604,-7696.064444444445,190.15034965034968,-38700.0,57554.0,0.3706293706293706,62933.474199628494,143,1000.0,20932.10469535585,0,27191.19921875,0,0.013986013986013986,0.18181818181818182,0.0,0.44755244755244755,0.23776223776223776,0.11888111888111888,46,545,0,False
68400,5700,True,1,0,0,4,228848,15,40,18,2,6,0.5720000000000001,9893.0,0.096,0.025147696287492135,4.404999999999999,0.00115360413899182,0.6299999999999999,6971.799999999999,-7760.0,1710.4428571428573,-15800.0,31037.0,0.6428571428571429,31793.735770089286,14,800.0,11849.835016527051,0,23946.099609375,0,0.2857142857142857,0.0,0.0,0.35714285714285715,0.35714285714285715,0.0,18,167,1,False
99336,4139,True,1,0,0,4,228848,15,40,18,2,6,0.5720000000000001,9893.0,0.096,0.025147696287492135,4.404999999999999,0.00115360413899182,0.6299999999999999,5352.908333333334,-3487.342857142857,592.7730769230769,-11900.0,16866.0,0.46153846153846156,27019.571026141828,52,300.0,7816.4617652310535,0,30831.3994140625,0,0.2692307692307692,0.11538461538461539,0.0,0.4230769230769231,0.19230769230769232,0.0,15,330,0,False
141948,3943,True,1,0,0,4,228848,15,40,18,2,6,0.5720000000000001,9893.0,0.096,0.025147696287492135,4.404999999999999,0.00115360413899182,0.6299999999999999,9777.114285714286,-7066.666666666667,4723.98,-16200.0,28840.0,0.7,32592.6806640625,10,800.0,17048.76807309817,0,47239.69921875,0,0.4,0.0,0.0,0.3,0.3,0.0,45,114,0,False
38148,3179,True,1,0,0,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,8067.861111111111,-8863.236363636364,1645.7206896551722,-20600.0,32706.0,0.6206896551724138,37462.09375,29,900.0,13062.224317117258,0,52283.30078125,0,0.06896551724137931,0.13793103448275862,0.0,0.2413793103448276,0.3448275862068966,0.20689655172413793,28,171,0,False
80952,3373,True,1,1,1,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,10394.786363636364,-6276.39375,515.5685185185185,-22400.0,30354.0,0.4074074074074074,32590.62405960648,54,1100.0,11949.501180703832,0,27847.8994140625,0,0.037037037037037035,0.09259259259259259,0.0,0.5,0.18518518518518517,0.18518518518518517,48,313,0,False
80952,3373,True,1,1,1,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,10395.177272727273,-6248.26875,532.3944444444444,-22400.0,30354.0,0.4074074074074074,33312.53891782407,54,1100.0,12156.745477588513,0,28756.3994140625,0,0.037037037037037035,0.09259259259259259,0.0,0.5,0.18518518518518517,0.18518518518518517,48,313,0,False
24516,2043,True,1,0,1,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,20344.677419354837,-13143.542857142858,1077.482191780822,-59200.0,49536.0,0.4246575342465753,55582.226222208104,73,200.0,29331.231885562654,0,78663.5,0,0.2876712328767123,0.0,0.0,0.5753424657534246,0.136986301369863,0.0,35,317,0,False
80340,6695,False,1,1,0,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,20306.622727272726,-11913.433333333332,1718.1288461538463,-39200.0,61260.0,0.4230769230769231,61531.590407151445,52,1100.0,26420.49162702627,0,89342.6015625,0,0.057692307692307696,0.0,0.0,0.5769230769230769,0.17307692307692307,0.19230769230769232,18,319,0,False
288360,4806,True,0,0,1,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,8081.3,-10600.0,4345.04,-15200.0,27116.0,0.8,33211.76015625,10,800.0,15829.949011482366,0,43381.75,0,0.4,0.0,0.0,0.2,0.4,0.0,58,107,0,False
131292,3647,True,2,0,1,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,11868.186206896553,-5792.888888888889,377.8481927710842,-24000.0,32823.0,0.3493975903614458,36635.1155873494,83,1000.0,12418.81722188712,0,31361.30078125,0,0.024096385542168676,0.12048192771084337,0.0,0.5301204819277109,0.1566265060240964,0.1686746987951807,40,425,0,False
120888,3358,True,2,0,0,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,13123.877777777778,-7007.416666666667,541.81875,-49200.0,48618.0,0.375,40838.75503540039,96,600.0,21444.891939737052,0,52014.3984375,0,0.21875,0.125,0.0,0.5,0.15625,0.0,50,496,0,False
323472,6739,True,1,0,0,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,13879.189285714285,-11015.089655172413,1213.6789473684212,-33900.0,44802.0,0.49122807017543857,45414.07329358553,57,200.0,26282.79835130694,0,77513.748046875,0,0.3333333333333333,0.08771929824561403,0.0,0.42105263157894735,0.15789473684210525,0.0,53,415,0,False
209184,4358,False,1,0,1,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,19731.792307692307,-11161.233333333334,650.8058823529414,-61800.0,54645.0,0.38235294117647056,46230.33978630515,68,1000.0,19260.134724095813,0,44254.69921875,0,0.014705882352941176,0.0,0.0,0.6176470588235294,0.17647058823529413,0.19117647058823528,41,391,0,False
87816,7318,False,1,1,1,0,1204953,0,0,0,1,1,1.0,12541.0,0.167,0.07667684963645885,0.36,0.01114566294286997,0.14,4840.648780487805,-4251.186046511628,186.49523809523808,-10300.0,14886.0,0.4880952380952381,25533.214227585566,84,800.0,6855.578576027671,0,15665.599609375,0,0.32142857142857145,0.13095238095238096,0.0,0.38095238095238093,0.16666666666666666,0.0,33,476,0,False
