granted_date,amount,duration,payments,loan_status
941104,59760,24,2490,1
941106,48672,36,1352,1
941106,140400,36,3900,1
941112,192552,24,8023,-1
941119,164052,36,4557,-1
941204,205200,36,5700,1
941208,51408,24,2142,1
941211,199680,60,3328,1
941219,482940,60,8049,-1
941220,36684,12,3057,1
941220,398640,60,6644,1
941221,100980,60,1683,1
941221,31248,12,2604,1
941221,115992,36,3222,1
950102,76380,12,6365,1
950103,288468,36,8013,1
950103,177744,48,3703,-1
950108,270648,36,7518,-1
950108,48624,24,2026,1
950111,76416,24,3184,1
950114,137880,60,2298,-1
950116,347952,48,7249,1
950118,68112,12,5676,1
950130,95808,12,7984,1
950202,20832,48,434,1
950205,316140,60,5269,-1
950206,43164,12,3597,1
950208,221280,48,4610,1
950211,151728,48,3161,-1
950212,79920,60,1332,1
950217,538500,60,8975,1
950223,97224,24,4051,1
950304,28248,24,1177,1
950304,168984,24,7041,-1
950311,76680,24,3195,1
950315,331560,60,5526,1
950316,103680,60,1728,-1
950316,99696,48,2077,-1
950319,134784,24,5616,1
950321,15420,12,1285,1
950327,31728,24,1322,1
950329,185952,48,3874,1
950401,156672,36,4352,1
950402,18564,12,1547,1
950405,158976,48,3312,1
950410,47304,24,1971,1
950411,104712,24,4363,1
950413,126600,24,5275,1
950415,68400,12,5700,-1
950425,225420,60,3757,1
950428,248148,36,6893,1
950501,187224,24,7801,-1
950508,36396,12,3033,1
950524,189060,60,3151,1
950529,71064,36,1974,1
950530,87216,48,1817,1
950530,158760,60,2646,1
950601,417060,60,6951,1
950606,63360,60,1056,1
950613,29784,24,1241,1
950613,139536,24,5814,1
950623,265320,36,7370,1
950624,198240,24,8260,1
950703,60000,60,1000,1
950709,465072,48,9689,1
950710,98592,24,4108,1
950725,285600,60,4760,1
950801,44088,24,1837,1
950805,20220,12,1685,1
950811,107640,24,4485,1
950818,21396,12,1783,1
950826,33984,48,708,1
950829,45336,24,1889,1
950903,85860,60,1431,1
950909,188688,48,3931,1
950916,309552,48,6449,1
950922,36168,12,3014,1
951002,314520,60,5242,1
951008,21852,36,607,1
951014,266220,60,4437,1
951020,231696,36,6436,1
951028,260028,36,7223,1
951029,419880,60,6998,1
951031,37908,12,3159,1
951031,73836,36,2051,1
951102,41952,12,3496,1
951104,99336,24,4139,1
951112,60156,36,1671,-1
951118,182040,60,3034,1
951122,244368,48,5091,1
951122,113796,36,3161,1
951123,73056,48,1522,1
951128,137904,24,5746,-1
951128,31176,24,1299,1
951204,217152,36,6032,1
951205,194880,48,4060,1
951211,27984,12,2332,1
951212,92976,24,3874,1
951212,104712,24,4363,1
951212,191880,60,3198,1
951216,232560,48,4845,1
951218,204000,60,3400,1
951225,125340,60,2089,1
951231,309600,48,6450,1
960101,189696,24,7904,1
960101,135360,48,2820,1
960103,98832,48,2059,1
960111,20352,48,424,1
960112,165120,60,2752,1
960119,89880,24,3745,1
960203,128988,36,3583,-1
960208,63252,12,5271,1
960210,61656,24,2569,-1
960212,72408,24,3017,-1
960213,113544,36,3154,1
960220,56100,60,935,1
960221,290700,60,4845,-1
960224,123216,48,2567,1
960229,380160,60,6336,1
960304,213300,36,5925,1
960310,247728,48,5161,1
960313,202788,36,5633,1
960321,154656,48,3222,1
960326,100224,48,2088,-1
960410,44628,12,3719,1
960411,215616,48,4492,-1
960415,200976,48,4187,1
960418,277884,36,7719,-1
960421,249312,48,5194,1
960425,320976,48,6687,-1
960429,30276,12,2523,-1
960429,49440,60,824,1
960429,30276,12,2523,-1
960502,165960,24,6915,1
960506,123600,60,2060,1
960506,220620,60,3677,1
960514,66480,24,2770,-1
960518,320592,48,6679,1
960524,161496,36,4486,1
960529,284280,60,4738,1
960530,173016,36,4806,1
960603,368880,60,6148,1
960606,176148,36,4893,1
960608,186384,48,3883,1
960613,360000,48,7500,1
960615,30060,60,501,1
960629,46320,24,1930,1
960706,141948,36,3943,1
960711,19044,36,529,1
960714,85716,36,2381,1
960715,155880,24,6495,1
960718,32640,48,680,1
960718,20196,36,561,1
960723,444864,48,9268,1
960725,11400,12,950,1
960725,96768,36,2688,1
960727,133968,48,2791,1
960728,187104,24,7796,1
960731,162468,36,4513,1
960802,89340,60,1489,1
960802,89340,60,1489,1
960803,258444,36,7179,1
960804,155640,24,6485,1
960806,270384,48,5633,1
960806,54024,12,4502,1
960809,44376,12,3698,1
960811,85632,48,1784,1
960820,148920,60,2482,1
960822,91152,24,3798,1
960822,141648,24,5902,1
960824,388512,48,8094,-1
960825,402000,60,6700,1
960828,253512,36,7042,-1
960909,71460,36,1985,1
960911,29448,12,2454,-1
960914,48744,36,1354,1
960916,181020,60,3017,1
960917,68832,36,1912,1
960919,74124,36,2059,1
960919,174048,48,3626,1
960922,84120,24,3505,1
960925,194940,36,5415,1
960925,15192,24,633,1
960926,96168,12,8014,1
960926,139464,36,3874,-1
960928,54396,36,1511,1
961002,392460,60,6541,1
961003,101520,12,8460,1
961004,77184,36,2144,1
961004,70656,48,1472,1
961010,64656,48,1347,1
961016,396120,60,6602,1
961020,93600,24,3900,1
961023,22968,36,638,1
961024,262980,60,4383,1
961029,372120,60,6202,1
961029,86184,12,7182,1
961029,86184,12,7182,1
961031,192744,36,5354,1
961103,68544,24,2856,1
961106,88440,12,7370,1
961109,110112,24,4588,1
961111,110136,24,4589,1
961112,276300,60,4605,1
961115,359760,60,5996,1
961115,321180,60,5353,1
961115,46176,48,962,1
961118,421008,48,8771,1
961119,72120,12,6010,1
961122,228276,36,6341,1
961125,182640,48,3805,1
961128,61560,12,5130,1
961128,179328,48,3736,1
961204,155616,48,3242,1
961205,417600,60,6960,1
961211,123408,24,5142,1
961212,155616,48,3242,1
961215,222180,60,3703,-1
961221,45024,48,938,1
961225,115812,36,3217,1
961227,129408,24,5392,1
